"priority","platform","placement_type","mediation_partner","country","edsp_margin"
"1","ios","interstitial","ironsource","US","0.29"
"2","ios","interstitial","max","US","0.27"
"3","ios","interstitial","mopub","","0.35"
"4","ios","interstitial","max","","0.3"
"5","ios","interstitial","","","0.28"
"6","ios","rewarded","","","0.26"
"7","ios","rewarded","mopub","","0.27"
"8","ios","rewarded","mopub","US","0.28"
"9","ios","rewarded","ironsource","","0.27"
"10","ios","rewarded","ironsource","US","0.28"
"11","ios","rewarded","max","","0.27"
"12","ios","rewarded","max","US","0.28"
"13","ios","banner","","","0.22"
"14","ios","banner","mopub","","0.23"
"15","ios","banner","mopub","US","0.25"
"16","ios","banner","ironsource","","0.23"
"17","ios","banner","ironsource","US","0.25"
"18","ios","banner","max","","0.23"
"19","ios","banner","max","US","0.25"
"20","ios","mrec","","","0.22"
"21","ios","mrec","mopub","","0.23"
"22","ios","mrec","mopub","US","0.25"
"23","ios","mrec","ironsource","","0.23"
"24","ios","mrec","ironsource","US","0.25"
"25","ios","mrec","max","","0.23"
"26","ios","mrec","max","US","0.25"
"27","ios","","","","0.29"
